store_id,product_id,current_stock,reorder_level
STR001,PRD001,84,25
STR001,PRD002,29,15
STR001,PRD003,32,10
STR001,PRD004,86,20
STR001,PRD005,45,15
STR001,PRD006,31,15
STR001,PRD007,55,12
STR001,PRD008,34,15
STR001,PRD009,12,40
STR001,PRD010,150,15
STR001,PRD011,24,15
STR001,PRD012,36,30
STR001,PRD013,42,35
STR001,PRD014,14,12
STR001,PRD015,24,20
STR001,PRD016,25,15
STR001,PRD017,24,20
STR001,PRD018,45,25
STR001,PRD019,125,10
STR001,PRD020,32,12
STR001,PRD021,24,15
STR001,PRD022,18,15
STR001,PRD023,23,15
STR001,PRD024,24,15
STR001,PRD025,29,12
STR001,PRD026,64,30
STR001,PRD027,42,35
STR001,PRD028,40,25
STR001,PRD029,36,30
STR001,PRD030,85,40
STR001,PRD031,29,15
STR001,PRD032,18,15
STR001,PRD033,12,10
STR001,PRD034,34,20
STR001,PRD035,146,25
STR001,PRD036,64,35
STR001,PRD037,36,25
STR001,PRD038,24,20
STR001,PRD039,67,30
STR001,PRD040,97,30
STR002,PRD001,120,25
STR002,PRD002,42,15
STR002,PRD003,27,10
STR002,PRD004,87,20
STR002,PRD005,36,15
STR002,PRD006,44,15
STR002,PRD007,34,12
STR002,PRD008,22,15
STR002,PRD009,91,40
STR002,PRD010,18,15
STR002,PRD011,31,15
STR002,PRD012,36,30
STR002,PRD013,42,35
STR002,PRD014,14,12
STR002,PRD015,32,20
STR002,PRD016,26,15
STR002,PRD017,36,20
STR002,PRD018,39,25
STR002,PRD019,12,10
STR002,PRD020,38,12
STR002,PRD021,31,15
STR002,PRD022,110,15
STR002,PRD023,36,15
STR002,PRD024,38,15
STR002,PRD025,42,12
STR002,PRD026,14,30
STR002,PRD027,42,35
STR002,PRD028,51,25
STR002,PRD029,36,30
STR002,PRD030,76,40
STR002,PRD031,40,15
STR002,PRD032,18,15
STR002,PRD033,12,10
STR002,PRD034,31,20
STR002,PRD035,30,25
STR002,PRD036,63,35
STR002,PRD037,43,25
STR002,PRD038,35,20
STR002,PRD039,71,30
STR002,PRD040,111,30
STR003,PRD001,89,25
STR003,PRD002,19,15
STR003,PRD003,32,10
STR003,PRD004,64,20
STR003,PRD005,40,15
STR003,PRD006,26,15
STR003,PRD007,42,12
STR003,PRD008,27,15
STR003,PRD009,67,40
STR003,PRD010,18,15
STR003,PRD011,21,15
STR003,PRD012,36,30
STR003,PRD013,42,35
STR003,PRD014,160,12
STR003,PRD015,35,20
STR003,PRD016,22,15
STR003,PRD017,37,20
STR003,PRD018,39,25
STR003,PRD019,12,10
STR003,PRD020,40,12
STR003,PRD021,25,15
STR003,PRD022,18,15
STR003,PRD023,31,15
STR003,PRD024,32,15
STR003,PRD025,21,12
STR003,PRD026,96,30
STR003,PRD027,42,35
STR003,PRD028,31,25
STR003,PRD029,36,30
STR003,PRD030,81,40
STR003,PRD031,27,15
STR003,PRD032,18,15
STR003,PRD033,12,10
STR003,PRD034,30,20
STR003,PRD035,30,25
STR003,PRD036,15,35
STR003,PRD037,32,25
STR003,PRD038,27,20
STR003,PRD039,97,30
STR003,PRD040,87,30
STR004,PRD001,59,25
STR004,PRD002,24,15
STR004,PRD003,24,10
STR004,PRD004,10,20
STR004,PRD005,38,15
STR004,PRD006,39,15
STR004,PRD007,52,12
STR004,PRD008,41,15
STR004,PRD009,59,40
STR004,PRD010,18,15
STR004,PRD011,23,15
STR004,PRD012,36,30
STR004,PRD013,42,35
STR004,PRD014,14,12
STR004,PRD015,30,20
STR004,PRD016,26,15
STR004,PRD017,24,20
STR004,PRD018,55,25
STR004,PRD019,12,10
STR004,PRD020,21,12
STR004,PRD021,21,15
STR004,PRD022,18,15
STR004,PRD023,33,15
STR004,PRD024,25,15
STR004,PRD025,23,12
STR004,PRD026,54,30
STR004,PRD027,42,35
STR004,PRD028,49,25
STR004,PRD029,36,30
STR004,PRD030,91,40
STR004,PRD031,30,15
STR004,PRD032,140,15
STR004,PRD033,12,10
STR004,PRD034,24,20
STR004,PRD035,30,25
STR004,PRD036,57,35
STR004,PRD037,30,25
STR004,PRD038,44,20
STR004,PRD039,99,30
STR004,PRD040,93,30
