sale_id,date,store_id,product_id,quantity,unit_price,revenue
SAL000001,2026-05-08,STR001,PRD001,2,599.0,1198.0
SAL000002,2026-05-08,STR001,PRD003,2,3499.0,6998.0
SAL000003,2026-05-08,STR001,PRD004,7,1199.0,8393.0
SAL000004,2026-05-08,STR001,PRD006,4,1799.0,7196.0
SAL000005,2026-05-08,STR001,PRD007,2,1999.0,3998.0
SAL000006,2026-05-08,STR001,PRD008,1,1499.0,1499.0
SAL000007,2026-05-08,STR001,PRD009,7,299.0,2093.0
SAL000008,2026-05-08,STR001,PRD010,8,1299.0,10392.0
SAL000009,2026-05-08,STR001,PRD011,4,1599.0,6396.0
SAL000010,2026-05-08,STR001,PRD014,1,899.0,899.0
SAL000011,2026-05-08,STR001,PRD016,2,1199.0,2398.0
SAL000012,2026-05-08,STR001,PRD017,3,649.0,1947.0
SAL000013,2026-05-08,STR001,PRD018,2,899.0,1798.0
SAL000014,2026-05-08,STR001,PRD019,2,1399.0,2798.0
SAL000015,2026-05-08,STR001,PRD023,4,1299.0,5196.0
SAL000016,2026-05-08,STR001,PRD024,3,1499.0,4497.0
SAL000017,2026-05-08,STR001,PRD026,4,299.0,1196.0
SAL000018,2026-05-08,STR001,PRD029,2,349.0,698.0
SAL000019,2026-05-08,STR001,PRD030,2,199.0,398.0
SAL000020,2026-05-08,STR001,PRD034,3,399.0,1197.0
SAL000021,2026-05-08,STR001,PRD035,6,449.0,2694.0
SAL000022,2026-05-08,STR001,PRD036,4,329.0,1316.0
SAL000023,2026-05-08,STR001,PRD039,7,299.0,2093.0
SAL000024,2026-05-08,STR001,PRD040,7,249.0,1743.0
SAL000025,2026-05-08,STR002,PRD001,6,599.0,3594.0
SAL000026,2026-05-08,STR002,PRD002,2,2899.0,5798.0
SAL000027,2026-05-08,STR002,PRD004,2,1199.0,2398.0
SAL000028,2026-05-08,STR002,PRD005,1,2299.0,2299.0
SAL000029,2026-05-08,STR002,PRD007,2,1999.0,3998.0
SAL000030,2026-05-08,STR002,PRD008,3,1499.0,4497.0
SAL000031,2026-05-08,STR002,PRD009,6,299.0,1794.0
SAL000032,2026-05-08,STR002,PRD012,3,199.0,597.0
SAL000033,2026-05-08,STR002,PRD013,3,249.0,747.0
SAL000034,2026-05-08,STR002,PRD015,5,449.0,2245.0
SAL000035,2026-05-08,STR002,PRD016,2,1199.0,2398.0
SAL000036,2026-05-08,STR002,PRD017,1,649.0,649.0
SAL000037,2026-05-08,STR002,PRD020,2,1499.0,2998.0
SAL000038,2026-05-08,STR002,PRD023,5,1299.0,6495.0
SAL000039,2026-05-08,STR002,PRD025,3,1899.0,5697.0
SAL000040,2026-05-08,STR002,PRD028,2,499.0,998.0
SAL000041,2026-05-08,STR002,PRD030,5,199.0,995.0
SAL000042,2026-05-08,STR002,PRD034,1,399.0,399.0
SAL000043,2026-05-08,STR002,PRD037,2,379.0,758.0
SAL000044,2026-05-08,STR002,PRD038,1,429.0,429.0
SAL000045,2026-05-08,STR002,PRD040,8,249.0,1992.0
SAL000046,2026-05-08,STR003,PRD001,3,599.0,1797.0
SAL000047,2026-05-08,STR003,PRD002,2,2899.0,5798.0
SAL000048,2026-05-08,STR003,PRD003,1,3499.0,3499.0
SAL000049,2026-05-08,STR003,PRD004,5,1199.0,5995.0
SAL000050,2026-05-08,STR003,PRD005,2,2299.0,4598.0
SAL000051,2026-05-08,STR003,PRD008,1,1499.0,1499.0
SAL000052,2026-05-08,STR003,PRD009,6,299.0,1794.0
SAL000053,2026-05-08,STR003,PRD011,4,1599.0,6396.0
SAL000054,2026-05-08,STR003,PRD015,4,449.0,1796.0
SAL000055,2026-05-08,STR003,PRD017,4,649.0,2596.0
SAL000056,2026-05-08,STR003,PRD023,3,1299.0,3897.0
SAL000057,2026-05-08,STR003,PRD024,4,1499.0,5996.0
SAL000058,2026-05-08,STR003,PRD025,2,1899.0,3798.0
SAL000059,2026-05-08,STR003,PRD026,2,299.0,598.0
SAL000060,2026-05-08,STR003,PRD028,3,499.0,1497.0
SAL000061,2026-05-08,STR003,PRD029,1,349.0,349.0
SAL000062,2026-05-08,STR003,PRD030,2,199.0,398.0
SAL000063,2026-05-08,STR003,PRD032,1,699.0,699.0
SAL000064,2026-05-08,STR003,PRD034,2,399.0,798.0
SAL000065,2026-05-08,STR003,PRD038,4,429.0,1716.0
SAL000066,2026-05-08,STR003,PRD039,3,299.0,897.0
SAL000067,2026-05-08,STR003,PRD040,7,249.0,1743.0
SAL000068,2026-05-08,STR004,PRD001,5,599.0,2995.0
SAL000069,2026-05-08,STR004,PRD002,1,2899.0,2899.0
SAL000070,2026-05-08,STR004,PRD005,2,2299.0,4598.0
SAL000071,2026-05-08,STR004,PRD008,2,1499.0,2998.0
SAL000072,2026-05-08,STR004,PRD009,5,299.0,1495.0
SAL000073,2026-05-08,STR004,PRD010,1,1299.0,1299.0
SAL000074,2026-05-08,STR004,PRD011,2,1599.0,3198.0
SAL000075,2026-05-08,STR004,PRD013,1,249.0,249.0
SAL000076,2026-05-08,STR004,PRD014,1,899.0,899.0
SAL000077,2026-05-08,STR004,PRD018,2,899.0,1798.0
SAL000078,2026-05-08,STR004,PRD022,1,599.0,599.0
SAL000079,2026-05-08,STR004,PRD024,4,1499.0,5996.0
